,index,station,date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT05,WT11,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
103,103,GHCND:USC00412114,2014-05-24T00:00:00,36.0,0.0,,,289.0,200.0,206.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
104,104,GHCND:USC00412114,2014-05-25T00:00:00,,0.0,,,,,,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
105,105,GHCND:USC00412114,2014-05-26T00:00:00,22.0,0.0,,,317.0,211.0,211.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
106,106,GHCND:USC00412114,2014-05-27T00:00:00,0.0,345.0,,,278.0,189.0,194.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
107,107,GHCND:USC00412114,2014-05-28T00:00:00,18.0,155.0,,,222.0,189.0,194.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
108,108,GHCND:USC00412114,2014-05-29T00:00:00,0.0,13.0,,,272.0,178.0,183.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
109,109,GHCND:USC00412114,2014-05-30T00:00:00,4.0,23.0,,,294.0,183.0,206.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
110,110,GHCND:USC00412114,2014-05-31T00:00:00,13.0,180.0,,,294.0,206.0,222.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
111,111,GHCND:USC00412114,2014-06-01T00:00:00,4.0,249.0,,,289.0,206.0,206.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
112,112,GHCND:USC00412114,2014-06-02T00:00:00,31.0,0.0,,,317.0,206.0,233.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
113,113,GHCND:USC00412114,2014-06-03T00:00:00,0.0,0.0,,,333.0,217.0,222.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
114,114,GHCND:USC00412114,2014-06-04T00:00:00,18.0,0.0,,,333.0,222.0,233.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
115,115,GHCND:USC00412114,2014-06-05T00:00:00,18.0,0.0,,,333.0,222.0,228.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
116,116,GHCND:USC00412114,2014-06-06T00:00:00,22.0,0.0,,,333.0,222.0,228.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
117,117,GHCND:USC00412114,2014-06-07T00:00:00,4.0,0.0,,,339.0,217.0,222.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
118,118,GHCND:USC00412114,2014-06-08T00:00:00,0.0,0.0,,,344.0,222.0,239.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
119,119,GHCND:USC00412114,2014-06-09T00:00:00,40.0,0.0,,,333.0,233.0,244.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
120,120,GHCND:USC00412114,2014-06-10T00:00:00,18.0,630.0,,,283.0,189.0,211.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
121,121,GHCND:USC00412114,2014-06-11T00:00:00,0.0,0.0,,,283.0,172.0,183.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
122,122,GHCND:USC00412114,2014-06-12T00:00:00,22.0,0.0,,,339.0,183.0,244.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
123,123,GHCND:USC00412114,2014-06-13T00:00:00,0.0,15.0,,,289.0,222.0,222.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
124,124,GHCND:USC00412114,2014-06-14T00:00:00,18.0,0.0,,,339.0,211.0,217.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
125,125,GHCND:USC00412114,2014-06-15T00:00:00,49.0,0.0,,,328.0,217.0,250.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
126,126,GHCND:USC00412114,2014-06-16T00:00:00,22.0,0.0,,,344.0,239.0,244.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
127,127,GHCND:USC00412114,2014-06-17T00:00:00,31.0,0.0,,,333.0,244.0,250.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
128,128,GHCND:USC00412114,2014-06-18T00:00:00,,0.0,,,333.0,239.0,239.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
129,129,GHCND:USC00412114,2014-06-19T00:00:00,18.0,127.0,,,339.0,228.0,239.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
130,130,GHCND:USC00412114,2014-06-20T00:00:00,0.0,0.0,,,333.0,228.0,233.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
